Participants,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,Other
Participant 1,7,3,1,4,1,1,1,0,3,3,0
Participant 2,7,3,3,2,1,1,5,1,1,0,0
Participant 3,7,3,3,2,0,1,0,0,2,0,0
Participant 4,7,3,3,2,0,1,1,1,0,3,0
Participant 5,8,2,3,2,0,1,4,0,0,0,0
Participant 6,7,4,2,3,1,1,0,1,1,2,0
Participant 7,7,3,2,3,1,0,1,0,1,0,0
Participant 8,6,4,3,2,0,1,1,0,0,0,0
Participant 9,6,4,4,1,1,1,2,0,1,0,0
Participant 10,8,3,2,3,1,0,5,0,1,0,0
Participant 11,8,2,2,3,1,0,0,1,0,0,0
Participant 12,7,3,4,1,1,0,2,0,1,0,0
Participant 13,6,3,1,4,1,0,1,1,0,0,0
Participant 14,8,2,1,4,1,0,0,0,2,0,0
Participant 15,7,3,4,1,0,1,0,0,0,1,0
Participant 16,5,5,3,2,1,0,3,0,0,0,0
Participant 17,5,5,2,3,0,1,0,1,2,0,0
Participant 18,7,3,2,3,0,1,1,1,0,0,0
Participant 19,8,2,2,3,0,1,1,0,2,0,0
Participant 20,3,6,1,4,0,1,0,0,2,0,0
Participant 21,6,4,3,2,1,0,2,0,0,1,0
Participant 22,1,9,1,4,1,0,0,0,2,0,0
Participant 23,8,2,3,2,0,1,1,0,3,0,0
Participant 24,8,2,4,1,1,0,0,0,2,0,0
